"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2756.57332354643","2473.87354790732","1490.35193668474","1438.58850813848","1587.04298834687","1758.67355702797","1909.64268102564","2023.94715018545","2217.0578535948","2347.50209987159","2572.4208203298","2915.45578555773","3382.06032385789","3958.32998572176","4518.26274645491","5339.90170201023","6274.02820664947","7380.23153964858","8097.3050071749","7045.33072468128","7331.38650353822","7881.77173468477","9267.39700562965","9822.94744066856","10114.93983675","10132.318975243","10966.8533270074","12509.6396064818","13547.5313985863","14921.8193191784","14089.2393754604","15592.4873567251",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11436.0169720724","12021.9972500658","12241.2348799217","12957.5678456873","13857.2953769191","13268.7596684407","14115.1662418244","14842.2602511211","15426.1417229866","15949.0434353505","17037.3808751235","16375.8133886858","16588.607512675","17741.6586743048","19057.1694874149","20684.0318578389","23727.1192138152","26274.2613954095","26377.1557538872","23015.8744378379","21175.3833088773","20939.3312746697","20208.9392876727","19437.6169691726","19748.6253844293","19674.5632961557","20790.4191719618","20777.8740340316","22612.8818128129","24007.8684845165","19276.5688116667","21010.0035741979",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17381.4400129867","17836.1740048755","18254.3578855016","19216.5661947223","20170.957675197","21037.2241707189","22130.4774533638","23123.4268586218","24377.4178638635","25468.2183053741","26521.0784018233","27626.0391599442","29016.6783446771","30106.2907018786","31746.5557154008","33018.163222623","34822.9751646044","36628.96879145","37517.8538515397","40306.6427837685","39363.6442365418","42018.1179436528","42847.2967465311","45907.7546796056","46882.1855716637","46251.4086848715","47249.4348152753","48400.2457875228","50192.9573282841","51908.9098730304","53067.1479599571","55949.2166406999",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19473.5053020796","20618.0300775528","21293.7440745293","21733.3583626984","22643.353467846","23698.6399137943","24561.1500469154","25427.2360475995","26676.2573405559","27606.4830303088","29380.0336676081","29707.4636156297","31178.6933297272","32145.6533405312","33773.9796307996","35013.7140443423","37656.6681805634","39435.0151679796","41316.225176699","40920.3145883553","42008.839962005","44452.7327457999","46457.3457770311","47922.0491207455","48799.7154676985","49865.9039424185","52684.0171130768","54172.9867888254","56960.0914258929","59756.4472491701","56994.441342388","59537.5397958229",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5253.44660826408","5321.81099375037","4149.74660557513","3217.65149470211","2603.60192877256","2317.59069546393","2366.63815438445","2522.62837120686","2779.61552655268","3000.92505671238","3381.66620983258","3770.85228711686","4159.94056320335","4639.79442615882","5159.85941090733","6740.4240629969","9243.49764554313","11732.8414907335","12969.2003782405","13972.5947839401","14678.7737395302","14804.5744507911","15957.7188502849","17188.9455056612","17443.8782563094","14938.4011276715","14371.0227410092","14121.4069355591","14549.0618972126","15051.5612816033","14478.5244519377","15854.5508382533",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","609.371647541677","648.330867116989","652.512222508418","647.477043592149","632.424953909955","559.836299430181","524.681068398009","525.83172726084","546.719839805259","535.962337056464","532.425919852103","542.030190166285","559.112337329033","545.775539314511","566.091631453863","567.700700411859","595.205565689488","609.593595544823","625.243739608448","620.896733786154","630.358192954177","646.103127483227","651.952327282116","696.497000211236","728.870060256426","797.05011411535","766.587220607525","750.787616270977","758.137611224729","760.453398933166","750.313062148695","774.54289094215",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18689.056072706","19602.2769203465","20273.4519318997","20474.2255295024","21519.8224118211","22447.9734075251","22745.2145866007","23732.7584265921","24370.0337291222","25440.8411888638","27788.3687669133","28792.6109272881","30282.2886450283","30934.1942307568","32063.2607941715","33177.8909458158","35254.0655574211","36795.2610133025","37883.3319417819","37751.5522974002","39839.516727723","40942.372710454","42290.7620520019","43671.11959259","44929.685593416","46200.904454307","48597.3999826201","50442.2705419624","52535.23221854","55753.5507478243","54197.3250418933","59372.889675862",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1220.21458185828","1275.135741128","1302.24047956983","1349.49034534688","1354.59080377176","1436.73762604785","1487.59807779095","1554.14549343527","1584.96540576118","1642.173164791","1724.54671037395","1802.32459760145","1858.76676518554","1902.50292259119","1979.29289911841","2011.39667736316","2090.28425488276","2210.7927096781","2294.86987751056","2294.60279263052","2302.6877910018","2350.35645152303","2427.43265922317","2590.92504537631","2745.85861163361","2792.60964526702","2901.26467091701","2933.8373843172","3112.79745336659","3289.65516924035","3360.98741640516","3649.04065049671",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","568.630146341943","625.178195411171","625.322827184169","646.047073403215","651.879799348004","685.788688392577","755.708141447607","796.589149193638","840.984430760182","889.501251044902","899.584820546202","951.314407021718","977.668518493994","1041.89856330638","1083.24931305826","1176.3572973137","1248.87304213661","1295.4671174055","1356.37219555766","1364.89564531445","1454.57874744176","1536.80894422349","1568.0668585351","1629.31783621598","1637.92805098986","1657.91610692212","1833.43305343067","1978.15501161376","2100.2222623551","2199.11662609236","2208.39822946104","2394.70536478773",
"Bangladesh","BGD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","979.948003418894","1028.28858970224","1088.74013682352","1144.97083250575","1191.83518519025","1255.4876301115","1313.07393811762","1370.95971760906","1431.06189691372","1490.19028016809","1574.33157000775","1659.71135593413","1717.97006166662","1803.13815313436","1916.45203805736","2074.01158542506","2253.20981718595","2451.54221317623","2625.40635940305","2751.2178775571","2906.05192049693","3119.92997298099","3493.92282116642","3734.72565095224","3997.28670058811","4216.71973916456","4558.56389477538","4830.7760826813","5246.92358804758","5697.9492180924","5897.58894780473","6493.80939271608",
"Bulgaria","BGR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7551.15417358242","7218.36789714754","6919.86889339485","7034.92845471041","7340.66650240459","7743.44322933175","6848.99369971199","5750.51171536098","6177.94084712058","5807.79182219793","6422.83277066238","6960.08330374242","7786.4484224601","8417.38546012655","9201.56567500039","10291.4238650414","11406.4859464649","12820.8099858108","14346.8955358868","14181.9496606098","14956.357308919","15747.0795962298","16327.8584708922","16647.0098720736","17616.9540727435","18391.8968113244","20074.26478835","21469.9708893116","23016.0668039048","25170.0499268478","25293.6906558807","28105.9686313619",
"Bahrain","BHR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25731.1649187926","28594.0918342748","30129.9623716511","33643.6304591696","33149.5742476964","34045.3942781628","34962.9567076082","35548.6561420837","36559.2764541062","37570.9167849775","39360.4320898099","40186.9453085917","41161.5625780613","42900.8133510832","44006.7127561133","44780.1156664312","45651.591942431","47380.1664464359","48078.8438742404","46708.7358567087","47929.443463014","49960.2678680839","53778.4886740831","53672.1042194471","52073.9846164495","45900.7030253586","45281.3019203255","48929.4470119951","50106.7863992199","51869.4554543792","50468.2538003506","54256.7714345513",
"Bahamas, The","BHS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20326.6282234118","19742.9286101936","19012.9736733393","19104.1062306335","19727.1620056098","20632.7466671401","21511.6337127041","22992.2267406031","21835.9015846113","24466.4995739748","25678.7672693082","26569.567274815","27350.3873823749","27172.3793593626","27770.7808899826","29212.6184635747","30446.4828790179","31278.0593499352","30697.063197344","29180.5158139166","29566.5798223197","29990.1643116344","30658.4006276759","30328.9444805651","31761.2753058053","32260.8269619199","32341.2098064249","34357.2706570791","35564.9514503491","36645.8211166295","28119.2472345762","33188.7324722864",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","943.249473725338","1166.99943300097","2155.16460749926","2844.360968683","3270.70034489485","3601.98149973204","4127.63808651098","4290.62576157003","4653.1316468785","4911.65996395048","5405.60880256589","5959.02483138061","6878.34557434791","7696.15172833962","8595.82565067715","8698.94715311476","9089.13614471176","9758.02189950307","10109.4006876473","10788.2680830719","11148.3878335826","11687.1222563024","12716.4099010632","13400.0411074817","14584.230196764","15898.2432895632","15642.8045081392","17488.5230977933",
"Belarus","BLR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5226.139654438","5335.57880421631","4922.4572163464","4645.89357402675","4194.88109419707","3849.89723270291","4043.74990480274","4601.50308460716","5066.94283697859","5337.01583982897","5801.75812955794","6244.74774377741","6704.59227948782","7369.84590615975","8491.89483925911","9647.1211805994","11006.4559116376","12332.50291934","13898.9996765798","14050.5715635795","15361.8317068326","16563.2014078209","18105.2867180444","18994.1901887615","19008.0610153147","18095.6651782737","17785.9431970966","18356.1007741722","19428.0074589115","20092.8803713875","20278.4739462373","21698.5740886624",
"Belize","BLZ","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4531.42366199298","5112.74534218285","5740.60689917084","6118.51529464146","6127.7313450876","6137.28124174879","6124.78279837328","6237.3647175232","6328.21897232367","6756.76285163768","7559.29595353417","7867.53701468187","8139.93002288877","8799.76901844963","9171.967861638","9383.18477147453","9823.53698899048","10123.3439800478","9878.20697420947","9628.79510749406","9623.86868033156","9592.13083070436","9113.47485341427","9314.22500902774","9246.7237525975","9317.19683592962","9161.6250471445","8873.7540251936","9008.73661819419","9409.59779932607","8124.9839324682","9626.57357080288",
"Bermuda","BMU","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34870.7477537551","34955.5582770959","35990.578111392","37749.2083732918","38518.4174421737","40763.3866085376","42317.9241727648","44753.9587284979","46678.6017993544","48664.5399508505","53921.7736769822","58484.1524018877","58138.3998128493","60908.0397060905","63578.1922805251","66239.4667912365","71656.7235772631","75627.2475293548","75193.3463873599","71022.3078466874","70627.8221941123","69998.8434204712","67453.8205236015","68993.2274876771","68775.4467426718","71873.2280578182","76362.0514142141","81834.9558735543","83368.6225507397","85129.0704598802","80286.4420905247","88185.4658683497",
"Bolivia","BOL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2294.72891353634","2446.01566050183","2491.52670796534","2606.57580088191","2732.4421138578","2865.22704633664","2988.5721005623","3132.592372612","3267.2261367183","3267.43222632468","3364.02436571423","3436.37487036006","3514.59137568506","3617.40341020172","3802.81090401932","4025.10904617997","4273.03812270534","4509.2105538811","4794.60369958426","4902.61057678333","5079.38272115006","5363.98790270809","5814.07013496348","6500.87680686824","6920.77886136151","6992.12758132485","7345.82684281583","8244.93344455748","8668.55385326589","8888.70114945264","8100.52934584379","8846.08196476077",
"Brazil","BRA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6617.94470340607","6793.80794114792","6797.15394115037","7183.89586575445","7644.21860236162","8008.05893049632","8208.21959274729","8504.68147862832","8503.6978873338","8541.71072531884","8994.74306157793","9202.87648404925","9510.82388253962","9693.55548230219","10407.8393521161","10954.8602632616","11614.4985379272","12522.5159385083","13281.0743859618","13222.7488780054","14254.5197697447","14989.1577837574","14994.3434693981","15535.723765174","15664.8017411414","14692.6323066956","14208.1611051807","14477.86176806","14968.8547543947","15304.9076953685","14789.8785635061","16031.0861728725",
"Barbados","BRB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9647.54639731515","9565.10321543554","9197.45960887253","9461.67074937887","9831.0262567862","10216.2511689052","10796.8233846464","11484.7770833201","12027.9671078777","12213.8278270122","13022.0096218854","12965.1468121475","13217.201339349","13717.521690709","14231.0706191453","15202.8525992517","16571.6326649349","17307.8720644454","17675.1852019102","16824.5570813662","16568.3689564998","16749.0393461095","15726.2358029347","15747.1370908403","15575.9507292616","15947.4215222808","16370.7456228065","16198.9621604366","16386.1913227355","16628.1685712154","14561.8592495757","15110.9573312342",
"Brunei Darussalam","BRN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55168.2508834989","57099.0256481043","59512.9401993712","59542.9697581132","61175.5485066134","63693.0916485975","65179.1360653858","63863.7108049069","62830.2712988","64276.500587034","66212.6098228208","68169.5022821683","70522.9035780364","72627.3339025796","73618.9315037168","74921.4136118765","79312.3333137377","80302.2199299065","79040.2883075579","76993.474621141","78784.8272242349","82300.6560453021","86588.6095204115","82305.276253661","80027.9852998551","61572.6217036362","55477.4693975286","60173.0511336013","61075.2820562023","64016.7544304588","64977.3063057703","66055.2483023615",
"Bhutan","BTN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1480.70036254856","1499.64214241707","1668.35151961215","1825.78342356075","1955.52144416999","2112.33085062706","2228.64532209768","2347.96987847424","2468.42702394111","2637.51697614612","2710.77622880027","2923.4768709388","3211.22207819505","3444.10591434036","3660.44500142716","3968.93354181365","4313.17139364825","5178.81318302249","5466.31780694291","5805.76196223259","6504.34793351835","7090.94827651626","7697.50641546979","7785.21406413651","8462.79859927604","9303.94598245162","10275.1605932496","10986.8881359297","11502.1567814496","12295.1837429135","11124.6671314508","11983.3169712681",
"Botswana","BWA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5817.92763944785","6280.19728197788","6424.04800672599","6511.80528441803","6702.91354183321","7134.36251040614","7501.26459356623","8076.12621190525","8023.18632177902","8733.6500222027","8922.18534735166","8964.66118235049","9478.37060504557","9936.89141590932","10298.0937890183","10907.1413457218","11957.3278088077","12739.0391370277","13136.1690418115","11119.5760629412","12139.4985301962","12976.260675745","12069.4687672148","12833.2783556398","14338.5740818842","13420.506600771","15277.0423219562","14656.772988721","15319.5268585675","15756.04377791","14287.5105895124","16304.1533572515",
"Central African Republic","CAF","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","634.177324496431","632.015969546095","585.952580583949","582.872800890118","605.155294740502","644.367978720642","613.65127454276","639.2801578056","658.470255389713","672.80711761996","652.393760718375","681.360011221161","701.340145279042","660.417846049021","703.37720097409","715.726242711717","757.618328911279","798.836079380152","813.832069367003","870.422304732301","902.781584213177","945.593128485274","1024.24756278492","683.96563252261","670.103823403593","733.749580708051","787.471168424675","839.600009452135","875.065112969144","898.137302825821","894.193373089326","920.078470147941",
"Canada","CAN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25258.8605604948","26319.6741635104","27841.3533496575","29362.0841609786","30230.8029655917","30963.0530022941","32349.9436608677","33925.7067319515","36327.2286544972","38119.4131958397","39575.3097484091","40376.3068799056","38865.4134577266","40099.4482394377","41666.7076267956","42290.9654102745","44298.5787342765","45753.7505547994","44670.0805385838","46472.3402486315","48317.1745835151","49992.7622757708","49783.4118660894","47166.0089794923","52789.675434009",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7097.43887960589","6651.3104241755","6692.53261818075","6961.24347644262","7400.77298100355","7996.16246999628","8402.23722943886","8706.40378888503","9097.53290055558","9396.46919317863","10016.0815138452","10800.1215418804","11630.6162581055","12341.1797945813","13483.8709627337","14312.9718851091","15919.12624712","17762.1390668551","19674.155147373","19702.476804916","20819.5826553154","22304.1413520984","23102.2446710507","23855.330205656","24922.4770984249","26130.6630112364","27749.2028281011","29826.2427411173","32000.7587849637","34934.1551578702","34758.8076260606","37570.301114692",
"Switzerland","CHE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28487.1772526712","28818.3978877194","29139.2158132889","29522.2403861088","30293.0718908716","30870.0424021076","31543.4902905963","32771.7170443878","33906.6672497984","34818.0760351278","36777.7315739544","37902.6529101893","38814.3717381965","38842.5802918773","40336.6235368174","41749.2164457237","46496.1814706266","51213.7813300076","54096.8078629618","53356.8719974473","54857.6622898953","57987.5020305492","59933.5986829168","62225.087267788","64103.0104476336","66020.2043398841","68105.1549836834","69103.570264696","71660.2068398902","73715.8573988006","71984.3344217571","77120.5553508179",
"Channel Islands","CHI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4437.05552988861","4872.13995578051","5533.63295968144","6026.75035110841","6473.88719033574","7250.18915176003","7959.48618233352","8581.43503603827","8927.83631492067","8921.98438372254","9468.31879903061","9876.22627820737","10239.3851520206","10820.670884022","11735.1767912274","12685.0279639862","15676.5834281532","16875.7145632511","16550.4489136795","16118.3767465671","18104.7245956272","20330.5245995546","21584.6812677939","22425.5894162187","22779.4276696968","22691.4866247346","23492.2878562645","24546.9124208604","25564.536716881","25608.571536298","24808.4044798393","28372.039569381",
"China","CHN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","981.41920741335","1093.56622897445","1262.02548338472","1454.49159197216","1660.34687960293","1860.5250626322","2060.86809985132","2266.72883819804","2448.48229055823","2650.17868564953","2917.24252975223","3208.22995657984","3532.08165146854","3938.73027446517","4427.13100314759","5056.40472408662","5842.77863595644","6818.9234092516","7581.45351258495","8305.76018514131","9254.77960343715","10292.9404780759","11168.6972979775","11872.4973811617","12480.3385303742","12897.5022868649","13483.3772665228","14243.5326108474","15495.548422109","16652.0988008463","17189.2817942534","19338.2340845061",
"Cote d'Ivoire","CIV","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2756.25353695449","2744.9106299685","2698.27946553165","2657.9322731335","2640.38055219923","2787.38001974434","2952.26236674366","3180.31730296334","3242.54752912108","3227.52017112998","3202.95174245373","3121.72784842705","3007.35726347882","2852.0204336213","2952.04126240799","3005.99833166273","3116.37115251324","3166.67153731872","3310.47535004859","3379.41256449637","3577.70698188747","3384.93097904752","3483.68978873195","3801.61647098285","4254.23089586308","4579.81476862528","4650.67006394623","4750.93645090584","5067.86155405383","5343.00160596865","5377.78552757916","5850.05192548799",
"Cameroon","CMR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014.18037639308","1943.94214895997","1870.86979461407","1712.72131331747","1731.90467073992","1769.43373147217","1827.47508633157","1892.15697574299","1951.60064769718","2014.29888469331","2083.23424827305","2164.67041253454","2236.10069588762","2339.84064903803","2502.37908358927","2567.22358674193","2673.56321316108","2786.08559701253","2838.69507761317","2848.3299561677","2882.75070003552","2957.16345616517","3022.35801139264","3194.16203216676","3369.32489033484","3437.7898257802","3559.13512043726","3691.09472365252","3821.67110906348","3915.05150786601","3866.25447217005","4065.31160958852",
